PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS
02-echo,HIGH,1.0
@accordproject@concerto-linter-default-ruleset,HIGH,1.0
@accordproject@concerto-metamodel,HIGH,1.0
@accordproject@concerto-types,HIGH,1.0
@accordproject@markdown-it-cicero,HIGH,1.0
@accordproject@template-engine,HIGH,1.0
@actbase@css-to-react-native-transform,HIGH,1.0
@actbase@native,HIGH,1.0
@actbase@node-server,HIGH,1.0
@actbase@react-absolute,HIGH,1.0
@actbase@react-daum-postcode,HIGH,1.0
@actbase@react-kakaosdk,HIGH,1.0
@actbase@react-native-actionsheet,HIGH,1.0
@actbase@react-native-devtools,HIGH,1.0
@actbase@react-native-fast-image,HIGH,1.0
@actbase@react-native-kakao-channel,HIGH,1.0
@actbase@react-native-kakao-navi,HIGH,1.0
@actbase@react-native-less-transformer,HIGH,1.0
@actbase@react-native-naver-login,HIGH,1.0
@actbase@react-native-simple-video,HIGH,1.0
@actbase@react-native-tiktok,HIGH,1.0
@alexcolls@nuxt-socket.io,HIGH,1.0
@alexcolls@nuxt-ux,HIGH,1.0
@antstackio@eslint-config-antstack,HIGH,1.0
@antstackio@express-graphql-proxy,HIGH,1.0
@antstackio@graphql-body-parser,HIGH,1.0
@antstackio@json-to-graphql,HIGH,1.0
@antstackio@shelbysam,HIGH,1.0
@aryanhussain@my-angular-lib,HIGH,1.0
@asyncapi@avro-schema-parser,HIGH,1.0
@asyncapi@bundler,HIGH,1.0
@asyncapi@cli,HIGH,1.0
@asyncapi@converter,HIGH,1.0
@asyncapi@diff,HIGH,1.0
@asyncapi@generator,HIGH,1.0
@asyncapi@generator-components,HIGH,1.0
@asyncapi@generator-helpers,HIGH,1.0
@asyncapi@generator-react-sdk,HIGH,1.0
@asyncapi@html-template,HIGH,1.0
@asyncapi@java-spring-template,HIGH,1.0
@asyncapi@java-template,HIGH,1.0
@asyncapi@keeper,HIGH,1.0
@asyncapi@markdown-template,HIGH,1.0
@asyncapi@modelina,HIGH,1.0
@asyncapi@multi-parser,HIGH,1.0
@asyncapi@nodejs-template,HIGH,1.0
@asyncapi@nunjucks-filters,HIGH,1.0
@asyncapi@openapi-schema-parser,HIGH,1.0
@asyncapi@optimizer,HIGH,1.0
@asyncapi@parser,HIGH,1.0
@asyncapi@php-template,HIGH,1.0
@asyncapi@problem,HIGH,1.0
@asyncapi@protobuf-schema-parser,HIGH,1.0
@asyncapi@python-paho-template,HIGH,1.0
@asyncapi@react-component,HIGH,1.0
@asyncapi@server-api,HIGH,1.0
@asyncapi@specs,HIGH,1.0
@asyncapi@studio,LOW,0.0
